difficulty,target_type,compatibility,dist_pos_x,ans,target_idx,thisN,thisTrialN,thisRepN,Anskey.keys,Anskey.corr,Anskey.rt,Anskey.duration,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,Trials_Loop.thisRepN,Trials_Loop.thisTrialN,Trials_Loop.thisN,Trials_Loop.thisIndex,thisRow.t,notes,piloting,Intro.started,Intro.stopped,Intro_keyresp.keys,Intro_keyresp.rt,Intro_keyresp.duration,Trial_Routine.started,Anskey.started,Trial_Routine.stopped,Prac_Loop.Anskey.keys,Prac_Loop.Anskey.corr,Prac_Loop.Anskey.rt,Prac_Loop.Anskey.duration,Anskey.stopped,Ready.started,Ready.stopped,Ready_keyresp.keys,Ready_keyresp.rt,Ready_keyresp.duration,Trials_Loop.Anskey.keys,Trials_Loop.Anskey.corr,Trials_Loop.Anskey.rt,Trials_Loop.Anskey.duration,ThankYou.started,ThankYou.stopped,Thanks_keyresp.keys,Thanks_keyresp.rt,Thanks_keyresp.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,FALSE,0.0079549,1.6473504999885336,space,1.1465434999554418,None,,,,,,,,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
2,square,cong,10,a,5,0,0,0,a,1,1.656010199978482,None,0,0,0,4,,,,,1.672879700025078,,,,,,,,1.6642471000086516,2.1411763000069186,3.7999579000170343,a,1,1.656010199978482,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
1,diamond,incong,-10,l,5,1,1,0,l,1,1.348888199951034,None,0,1,1,3,,,,,3.8073119000182487,,,,,,,,3.801127800019458,4.2940656000282615,5.649209099996369,l,1,1.348888199951034,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
3,diamond,cong,10,l,1,2,2,0,a,0,1.0457558000343852,None,0,2,2,10,,,,,5.6569035,,,,,,,,5.650412000017241,6.144940400030464,7.2006411,a,0,1.0457558000343852,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
1,square,cong,-10,a,1,3,3,0,a,1,1.3487563999951817,None,0,3,3,0,,,,,7.207509800035041,,,,,,,,7.201880300010089,7.701943900028709,9.057076400029473,a,1,1.3487563999951817,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
3,square,cong,-10,a,1,4,4,0,a,1,0.8203843999654055,None,0,4,4,8,,,,,9.065160400001332,,,,,,,,9.058491600037087,9.552259200019762,10.373417299997527,a,1,0.8203843999654055,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
2,square,incong,-10,a,2,5,5,0,a,1,1.1852747999946587,None,0,5,5,5,,,,,10.380638000031468,,,,,,,,10.374325200042222,10.867251600022428,12.057089500012808,a,1,1.1852747999946587,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
1,diamond,cong,10,l,0,6,6,0,l,1,0.7502691,None,0,6,6,2,,,,,12.06369680003263,,,,,,,,12.058035199996084,12.551595800032374,13.306247200001962,l,1,0.7502691,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
2,diamond,cong,-10,l,3,7,7,0,a,0,1.049359500000719,None,0,7,7,6,,,,,13.31328250002116,,,,,,,,13.307440000004135,13.801598699996248,14.855743599997368,a,0,1.049359500000719,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
1,square,incong,10,a,3,8,8,0,a,1,0.9036650999914855,None,0,8,8,1,,,,,14.862889100040775,,,,,,,,14.85698710003635,15.350407599995378,16.255085200013127,a,1,0.9036650999914855,None,,,,,,,,,,,,,,,,p001,2026-04-14_11h58.44.848,Flanker Compatibility Task,,2026.1.1,118.82256342489471,2026-04-14 11h58.45.136358 +0800
