difficulty,target_type,condition,dist_pos_x,ans,target_idx,thisN,thisTrialN,thisRepN,Anskey.keys,Anskey.corr,Anskey.rt,Anskey.duration,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,Trials_Loop.thisRepN,Trials_Loop.thisTrialN,Trials_Loop.thisN,Trials_Loop.thisIndex,thisRow.t,notes,piloting,Intro.started,Intro.stopped,Intro_keyresp.keys,Intro_keyresp.rt,Intro_keyresp.duration,Trial_Routine.started,Anskey.started,Trial_Routine.stopped,Prac_Loop.Anskey.keys,Prac_Loop.Anskey.corr,Prac_Loop.Anskey.rt,Prac_Loop.Anskey.duration,Ready.started,Ready.stopped,Ready_keyresp.keys,Ready_keyresp.rt,Ready_keyresp.duration,Trials_Loop.Anskey.keys,Trials_Loop.Anskey.corr,Trials_Loop.Anskey.rt,Trials_Loop.Anskey.duration,ThankYou.started,ThankYou.stopped,Thanks_keyresp.keys,Thanks_keyresp.rt,Thanks_keyresp.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,FALSE,0.0078503,2.7833059,space,2.2775629,None,,,,,,,,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
1,diamond,incong,-10,l,5,0,0,0,l,1,1.0222104,None,0,0,0,3,,,,,2.8084011,,,,,,,,2.7987396,3.2792247,4.3093682,l,1,1.0222104,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
3,diamond,cong,10,l,1,1,1,0,l,1,1.2920154,None,0,1,1,10,,,,,4.3157273,,,,,,,,4.3108102,4.8119231,6.1082466,l,1,1.2920154,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
4,square,incong,-10,a,1,2,2,0,a,1,1.0731806,None,0,2,2,13,,,,,6.1158662,,,,,,,,6.1098172,6.6029877,7.6824428,a,1,1.0731806,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
3,square,incong,10,a,5,3,3,0,a,1,1.0553294,None,0,3,3,9,,,,,7.6901387,,,,,,,,7.6837805,8.1782008,9.2410176,a,1,1.0553294,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
4,diamond,cong,-10,l,4,4,4,0,l,1,1.4586746,None,0,4,4,14,,,,,9.2481216,,,,,,,,9.2425959,9.7365143,11.197819,l,1,1.4586746,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
1,square,incong,10,a,3,5,5,0,a,1,0.9011786,None,0,5,5,1,,,,,11.2055209,,,,,,,,11.1990172,11.6924451,12.5985609,a,1,0.9011786,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
2,diamond,incong,10,l,0,6,6,0,l,1,0.8936433,None,0,6,6,7,,,,,12.6055186,,,,,,,,12.5998787,13.099005,13.9975617,l,1,0.8936433,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
3,diamond,incong,-10,l,4,7,7,0,l,1,1.1471042,None,0,7,7,11,,,,,14.0048589,,,,,,,,13.998969,14.4922664,15.6470593,l,1,1.1471042,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
1,square,cong,-10,a,1,8,8,0,a,1,0.6023704,None,0,8,8,0,,,,,15.6549473,,,,,,,,15.6482303,16.1410784,16.7468769,a,1,0.6023704,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
3,square,cong,-10,a,1,9,9,0,a,1,0.7712426,None,0,9,9,8,,,,,16.7542195,,,,,,,,16.7479501,17.2419166,18.021258,a,1,0.7712426,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
1,diamond,cong,10,l,0,10,10,0,l,1,0.6845999,None,0,10,10,2,,,,,18.0292023,,,,,,,,18.0223904,18.5156389,19.2054368,l,1,0.6845999,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
4,diamond,incong,10,l,2,11,11,0,l,1,1.2623532,None,0,11,11,15,,,,,19.211797,,,,,,,,19.2069973,19.7074758,20.9717045,l,1,1.2623532,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
2,square,incong,-10,a,2,12,12,0,a,1,0.742913,None,0,12,12,5,,,,,20.9779838,,,,,,,,20.9730554,21.471123,22.2210657,a,1,0.742913,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
2,diamond,cong,-10,l,3,13,13,0,l,1,0.8643426,None,0,13,13,6,,,,,22.2270002,,,,,,,,22.2225178,22.7208375,23.5869618,l,1,0.8643426,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
2,square,cong,10,a,5,14,14,0,a,1,0.6326286,None,0,14,14,4,,,,,23.5935731,,,,,,,,23.5882799,24.0813549,24.7191001,a,1,0.6326286,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
4,square,cong,10,a,5,15,15,0,a,1,0.6744037,None,0,15,15,12,,,,,24.7265968,,,,,,,,24.7206014,25.2138803,25.8934406,a,1,0.6744037,None,,,,,,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8936279,32.0083938,space,5.6222988,None,,,,,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
1,diamond,cong,-10,l,4,0,0,0,l,1,0.6906489,None,,,,,0,0,0,28,32.0498664,,,,,,,,32.0459352,32.5037105,33.2007363,,,,,,,,,,l,1,0.6906489,None,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
2,square,cong,-10,a,0,1,1,0,a,1,0.5454222,None,,,,,0,1,1,48,33.2083472,,,,,,,,33.2020307,33.6961578,34.2495422,,,,,,,,,,a,1,0.5454222,None,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
2,diamond,incong,-10,l,5,2,2,0,l,1,0.6587429,None,,,,,0,2,2,89,34.2572296,,,,,,,,34.2505915,34.7442141,35.4081968,,,,,,,,,,l,1,0.6587429,None,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
3,diamond,cong,10,l,5,3,3,0,l,1,0.5853818,None,,,,,0,3,3,131,35.4155128,,,,,,,,35.4098314,35.9050259,36.4911267,,,,,,,,,,l,1,0.5853818,None,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
2,square,incong,10,a,1,4,4,0,a,1,0.5718218,None,,,,,0,4,4,67,36.4987655,,,,,,,,36.4922186,36.986296,37.5587495,,,,,,,,,,a,1,0.5718218,None,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
2,diamond,incong,-10,l,1,5,5,0,l,1,0.5800349,None,,,,,0,5,5,85,37.5657328,,,,,,,,37.5599855,38.0609214,38.6421263,,,,,,,,,,l,1,0.5800349,None,,,,,,p004,2026-04-14_12h31.06.147,Flanker Compatibility Task,,2026.1.1,120.3295586,2026-04-14 12h31.06.440388 +0800
