difficulty,target_type,compatibility,dist_pos_x,ans,target_idx,thisN,thisTrialN,thisRepN,Anskey.keys,Anskey.corr,Anskey.rt,Anskey.duration,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,Trials_Loop.thisRepN,Trials_Loop.thisTrialN,Trials_Loop.thisN,Trials_Loop.thisIndex,thisRow.t,notes,piloting,Intro.started,Intro.stopped,Intro_keyresp.keys,Intro_keyresp.rt,Intro_keyresp.duration,Trial_Routine.started,Anskey.started,Trial_Routine.stopped,Prac_Loop.Anskey.keys,Prac_Loop.Anskey.corr,Prac_Loop.Anskey.rt,Prac_Loop.Anskey.duration,Ready.started,Ready.stopped,Ready_keyresp.keys,Ready_keyresp.rt,Ready_keyresp.duration,Trials_Loop.Anskey.keys,Trials_Loop.Anskey.corr,Trials_Loop.Anskey.rt,Trials_Loop.Anskey.duration,ThankYou.started,ThankYou.stopped,Thanks_keyresp.keys,Thanks_keyresp.rt,Thanks_keyresp.duration,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,FALSE,0.0026756,3.6524413999868557,space,3.143662799964659,None,,,,,,,,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
1,diamond,cong,10,l,0,0,0,0,l,1,0.5702880999888293,None,0,0,0,2,,,,,3.679564099991694,,,,,,,,3.6684582000016235,4.152738799981307,4.725230299984105,l,1,0.5702880999888293,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
1,square,cong,-10,a,1,1,1,0,a,1,0.41903749998891726,None,0,1,1,0,,,,,4.732111899997108,,,,,,,,4.7264913999824785,5.220212400017772,5.642426599981263,a,1,0.41903749998891726,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
2,square,incong,-10,a,2,2,2,0,a,1,0.9830171000212431,None,0,2,2,5,,,,,5.649244099971838,,,,,,,,5.643764699983876,6.1435637,7.132143399969209,a,1,0.9830171000212431,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
4,square,cong,10,a,5,3,3,0,a,1,0.8451448000269011,None,0,3,3,12,,,,,7.139931600017007,,,,,,,,7.1332569000078365,7.625692399975378,8.473873800016008,a,1,0.8451448000269011,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
1,diamond,incong,-10,l,5,4,4,0,l,1,0.5832531999913044,None,0,4,4,3,,,,,8.481268799980171,,,,,,,,8.474854999978561,8.974901799985673,9.564783399982844,l,1,0.5832531999913044,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
3,diamond,incong,-10,l,4,5,5,0,l,1,0.8913912000134587,None,0,5,5,11,,,,,9.5724821,,,,,,,,9.566158999979962,10.060812000010628,10.95666159997927,l,1,0.8913912000134587,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
2,diamond,incong,10,l,0,6,6,0,l,1,0.48848520003957674,None,0,6,6,7,,,,,10.964046699984465,,,,,,,,10.95793799997773,11.45752860000357,11.9478788,l,1,0.48848520003957674,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
2,diamond,cong,-10,l,3,7,7,0,l,1,0.6400679,None,0,7,7,6,,,,,11.955449300003238,,,,,,,,11.949033099983353,12.442316600005142,13.08886399999028,l,1,0.6400679,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
2,square,cong,10,a,5,8,8,0,a,1,0.6176323999534361,None,0,8,8,4,,,,,13.096747900010087,,,,,,,,13.090156799997203,13.58486369997263,14.205981499981135,a,1,0.6176323999534361,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
3,square,incong,10,a,5,9,9,0,a,1,0.6195806000032462,None,0,9,9,9,,,,,14.213179900019895,,,,,,,,14.2072434,14.706962500000373,15.330332599987742,a,1,0.6195806000032462,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
1,square,incong,10,a,3,10,10,0,a,1,0.5213288000086322,None,0,10,10,1,,,,,15.3379064,,,,,,,,15.331522100022994,15.833672699984163,16.35600109997904,a,1,0.5213288000086322,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
4,square,incong,-10,a,1,11,11,0,a,1,0.7001507999957539,None,0,11,11,13,,,,,16.3626691,,,,,,,,16.357573800021783,16.85080710001057,17.556535299983807,a,1,0.7001507999957539,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
3,diamond,cong,10,l,1,12,12,0,l,1,0.7025086000212468,None,0,12,12,10,,,,,17.562986999982968,,,,,,,,17.558131899975706,18.059124100022018,18.76256210001884,l,1,0.7025086000212468,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
4,diamond,incong,10,l,2,13,13,0,l,1,1.4333863000501879,None,0,13,13,15,,,,,18.770404800015967,,,,,,,,18.764136300014798,19.256470599968452,20.6938996,l,1,1.4333863000501879,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
4,diamond,cong,-10,l,4,14,14,0,l,1,0.7062063000048511,None,0,14,14,14,,,,,20.70108169998275,,,,,,,,20.695359600009397,21.194371399993543,21.901834800024517,l,1,0.7062063000048511,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
3,square,cong,-10,a,1,15,15,0,a,1,0.5173977999947965,None,0,15,15,8,,,,,21.908993099990766,,,,,,,,21.90283959999215,22.396302599983755,22.91906529996777,a,1,0.5173977999947965,None,,,,,,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.919290099991485,39.95520829997258,space,16.540067599969916,None,,,,,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
3,square,cong,10,a,1,0,0,0,a,1,0.5851071000215597,None,,,,,0,0,0,103,40.00205359997926,,,,,,,,39.99872650002362,40.44985460001044,41.03967680002097,,,,,,,,,,a,1,0.5851071000215597,None,,,,,,p007,2026-04-14_14h32.54.461,Flanker Compatibility Task,,2026.1.1,120.28121749945075,2026-04-14 14h32.54.754394 +0800
